a,b,sum,carry, OF
 4264417508385920525,  6565129862207554876, -7617196703116076214, 0, 0
 7639731349228030042,  3088067349986100518, -7718945374495421056, 0, 0
-2554534591973320728, -7512126165663220999,  8380083316073009890, 1, 0
-4960945430234056348, -7461789457350517220,  6024009186124978048, 1, 1
-4301535952856451070, -8746250600816671283,  5398957520036429264, 1, 1
 8276778903586540135,  -469669146872767858,  7807109756713772278, 1, 1
  979494924224180082, -8762124820975865097, -7782629896751685014, 0, 1
-3363969026379459270,  9170571801518263899,  5806602775138804630, 1, 1
-5710554188179142668, -4694447095105650722,  8041742790424758226, 1, 0
 2500815882078454725,  3508107426242290112,  6008923308320744838, 0, 1
-1693021614498396234,  4127947155606249567,  2434925541107853334, 1, 0
  284722250467243531, -1187724609641278347,  -903002359174034817, 0, 0
-5737963953210277314,  4404677667367190707, -1333286285843086606, 0, 0
-8495260404578939880,  -611984082207096242, -9107244486786036122, 1, 1
 4163737213853092044, -7738581286562995096, -3574844072709903052, 0, 1
-8463977919119608565,   216796824212704180, -8247181094906904384, 0, 0
 4420359639715072678, -5874662724873159487, -1454303085158086808, 0, 1
-4598191881274330212,   485587508377657779, -4112604372896672432, 0, 1
 5870042728044797946,  -597870544276487523,  5272172183768310424, 1, 0
 5299670305864028521,   376696898269440519,  5676367204133469039, 0, 0
-8405968114169695962,  -404918199411203581, -8810886313580899542, 1, 1
 4213102989492704099, -7354248716658342552, -3141145727165638452, 0, 0
-6614763913445302523, -6958727530642085071,  4873252629622164021, 1, 1
 3632295591674555849,  1012094061912485933,  4644389653587041781, 0, 0
-3646967100891944736,  3610202679540587350,   -36764421351357386, 0, 1
  295722438467388314, -7511846009542652541, -7216123571075264226, 0, 1
 4111254361244212126,  -942367885739980224,  3168886475504231902, 1, 1
 6982994341542183893, -1617015717841755361,  5365978623700428531, 1, 1
-5363995474213189266,  2496542212558817797, -2867453261654371468, 0, 0
-9112200299893404016,  3715214068057247268, -5396986231836156748, 0, 0
-4484487234594872969, -8554788624537489607,  5407468214577189039, 1, 1
 5392485228544547718,  6552883489187762061, -6501375355977241836, 0, 1
 8099857894663327332, -5196863392934474715,  2902994501728852618, 1, 1
 9117268882788977419,  7899795439629296349, -1429679751291277849, 0, 0
 -541886820470639245, -4763796954911646716, -5305683775382285960, 1, 1
-4627982329972192767,  7596786472334334172,  2968804142362141406, 1, 1
 1898346180168102682, -7041550908479863884, -5143204728311761202, 0, 0
 5561482709590100662,  -620644778872560535,  4940837930717540128, 1, 0
 -215746691760331595, -6451946800005979003, -6667693491766310599, 1, 0
-6135972907417130732, -1418831750100288792, -7554804657517419524, 1, 1
 2379806969749322970,  5764712034986529812,  8144519004735852782, 0, 0
-3498751230870494020, -6939607465901944448,  8008385376937113148, 1, 0
-1487455866814883264, -8804575747845586754,  8154712459049081598, 1, 1
 8617176780018446178, -7458869898515218377,  1158306881503227802, 1, 1
-2350018545849529271, -6452464650274626618, -8802483196124155888, 1, 0
 4706359959592454572,  -777199251347083795,  3929160708245370778, 1, 0
-3071436730142217488, -5607587302102483415, -8679024032244700902, 1, 0
 6367682836845236258, -8591848888615321236, -2224166051770084978, 0, 0
 8555635846237030596,   -62497717879514791,  8493138128357515806, 1, 0
  141732845137224200,  2634853653436192683,  2776586498573416884, 0, 0
 7355656986968375131, -4093378952795192961,  3262278034173182169, 1, 1
-2206841416270030300, -4279929385962734864, -6486770802232765164, 1, 0
 1596039600969390471, -4230865085780046340, -2634825484810655868, 0, 1
